,Layers,Training,Validation,Development,Test,Total
90,"(398, 172)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9948453903198242,0.9984608292579651
91,"(82, 338, 242, 595, 879, 702, 752, 639)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9948453903198242,0.9984608292579651
92,"(391,)",0.9982410073280334,0.9976905584335327,0.9981186985969543,0.9948453903198242,0.9973834156990051
93,"(475, 194, 824, 677, 856, 455, 708, 576, 713, 735)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9948453903198242,0.9984608292579651
94,"(877, 690, 467, 428)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9948453903198242,0.9984608292579651
95,"(102, 229, 243, 791, 536, 400)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9948453903198242,0.9984608292579651
96,"(848, 785, 140, 417, 822, 423, 206, 680)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9948453903198242,0.9984608292579651
97,"(329, 821, 392)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9948453903198242,0.9984608292579651
98,"(831, 496, 594, 284, 208, 444)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9948453903198242,0.9984608292579651
99,"(238, 732)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9948453903198242,0.9984608292579651
100,"(825, 628, 360)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9948453903198242,0.9984608292579651
101,"(851, 623, 100)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9948453903198242,0.9984608292579651
102,"(506, 58, 161, 244)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9948453903198242,0.9984608292579651
103,"(863, 258, 201, 48, 708, 160, 346, 185, 227, 148)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9948453903198242,0.9984608292579651
104,"(820, 893, 885, 519, 273, 172, 289, 386, 535, 114)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9948453903198242,0.9984608292579651
105,"(846, 77, 886, 649)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9948453903198242,0.9984608292579651
106,"(613, 513, 415, 474, 868)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9948453903198242,0.9984608292579651
107,"(283, 638)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9948453903198242,0.9984608292579651
108,"(694, 780, 239, 887, 30, 626, 677, 510, 847, 439)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9948453903198242,0.9984608292579651
109,"(849, 424, 620, 52, 320, 248, 886, 150)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9948453903198242,0.9984608292579651
110,"(278,)",0.9982410073280334,0.9976905584335327,0.9981186985969543,0.9948453903198242,0.9973834156990051
111,"(150, 796)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9948453903198242,0.9984608292579651
112,"(289, 312, 48, 569, 304, 431, 134, 65, 781)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9948453903198242,0.9984608292579651
113,"(286, 402, 307, 372, 218, 511)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9948453903198242,0.9984608292579651
114,"(836, 215, 698, 612, 627)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9948453903198242,0.9984608292579651
115,"(353, 465, 280, 384, 389, 810, 532, 555, 375)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9948453903198242,0.9984608292579651
116,"(654, 421, 857, 533, 46, 677, 259)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9948453903198242,0.9984608292579651
117,"(184, 377, 690)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9948453903198242,0.9984608292579651
118,"(693, 792, 489, 881, 548, 629, 469, 132, 543)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9948453903198242,0.9984608292579651
119,"(135, 338, 115, 502, 691, 555, 356, 649)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9948453903198242,0.9984608292579651
120,"(860, 564, 407, 155, 347, 471)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9948453903198242,0.9984608292579651
121,"(114, 877, 718)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9948453903198242,0.9984608292579651
122,"(550, 267)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9948453903198242,0.9984608292579651
123,"(184, 72)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9948453903198242,0.9984608292579651
124,"(332, 124)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9948453903198242,0.9984608292579651
125,"(852, 469, 580, 98, 368, 594, 355, 850, 232, 345)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9948453903198242,0.9984608292579651
126,"(178, 838, 803, 236, 544, 210, 127)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9948453903198242,0.9984608292579651
