Layers,Complexity,MSE Train,MSE Future,MSE Past,MSE Train and Test
"(7, 7, 8, 7, 1)",191,0.07603679597377777,0.376863569021225,0.0966181829571724,0.12918540835380554
"(7, 8, 7, 7, 1)",191,0.07779458910226822,0.2998488247394562,0.09194305539131163,0.11702605336904524
"(7, 7, 15, 1)",192,0.0790557786822319,0.2517819106578827,0.09755799919366837,0.10957223176956177
"(7, 11, 8, 1)",193,0.08061758428812027,0.2728326320648193,0.09781257063150406,0.11457724869251253
"(7, 9, 11, 1)",194,0.07687743008136749,0.2846476435661316,0.08917105197906494,0.11358523368835448
"(7, 7, 7, 9, 1)",194,0.07699477672576904,0.3267752230167389,0.09508918970823288,0.12112469226121902
"(7, 8, 13, 1)",195,0.08234792947769165,0.3802711665630341,0.10641977936029434,0.13498374819755554
"(7, 12, 7, 1)",195,0.07821048051118851,0.2790331542491913,0.09370067715644836,0.1136908307671547
"(7, 22, 1)",199,0.07712462544441223,0.1959279179573059,0.089121975004673,0.09811415523290634
"(7, 8, 7, 8, 1)",200,0.08122387528419495,0.3567860126495361,0.09927891194820404,0.12990887463092804
"(7, 7, 16, 1)",201,0.0801839530467987,0.20566214621067047,0.09516908973455428,0.10235293209552764
"(7, 7, 8, 8, 1)",201,0.07927481085062027,0.2511851489543915,0.09616009145975113,0.10964715480804443
"(7, 10, 10, 1)",201,0.07734492421150208,0.3000750541687012,0.09337272495031357,0.11669588834047318
"(7, 7, 7, 10, 1)",203,0.07520724087953568,0.4346614181995392,0.09714340418577194,0.13871394097805026
"(7, 9, 12, 1)",205,0.07701405137777327,0.24635913968086245,0.09750889986753464,0.10693320631980896
"(7, 8, 14, 1)",205,0.07914766669273376,0.27297621965408325,0.09691579639911653,0.11339230090379715
"(7, 7, 9, 7, 1)",206,0.08200554549694061,0.2743878662586212,0.09768281877040864,0.11599478870630266
"(7, 11, 9, 1)",206,0.07793358713388443,0.28501567244529724,0.09299732744693756,0.114519864320755
"(7, 9, 7, 7, 1)",206,0.07932833582162857,0.20775459706783286,0.09200827032327652,0.10201814025640488
"(7, 8, 8, 7, 1)",207,0.07802148908376694,0.26221030950546265,0.09422284364700316,0.11056314408779144
