Layers,Complexity,MSE Train,MSE Future,MSE Past,MSE Train and Test
"(7, 2, 1, 3, 1, 1)",31,0.3094835877418518,0.2565629184246063,0.06898726522922516,0.3873087167739868
"(7, 2, 2, 2, 1)",31,0.29556071758270264,0.41227787733078,0.06294069439172745,0.42951846122741705
"(7, 2, 2, 1, 1, 1, 1)",31,0.3157944977283478,0.13830804824829102,0.08485691249370575,0.3415157794952393
"(7, 2, 3, 1, 1)",31,0.3181458115577698,0.2549823820590973,0.0617046169936657,0.35771581530570984
"(7, 2, 1, 1, 3, 1)",31,0.3446448445320129,0.2094913274049759,0.043769702315330505,0.3622443675994873
"(7, 3, 1, 1, 1)",32,0.29699841141700745,0.3195240795612335,0.16003809869289398,0.3560046851634979
"(7, 2, 1, 2, 2, 1)",32,0.3087157607078552,0.298691600561142,0.0516277514398098,0.3573288321495056
"(7, 2, 1, 4, 1)",32,0.3409170210361481,0.21280677616596225,0.08361830562353134,0.4026175737380981
"(7, 2, 2, 1, 2, 1)",32,0.3011901080608368,0.4395401179790497,0.08732693642377852,0.35608020424842834
"(7, 2, 4, 1)",33,0.3088991045951843,0.2918846309185028,0.042204633355140686,0.4112549722194672
"(7, 2, 1, 1, 3, 1, 1)",33,0.3497146368026733,0.2556470036506653,0.04624972492456436,0.4300778210163117
"(7, 2, 1, 1, 1, 3, 1)",33,0.3078009784221649,0.1327289193868637,0.05506548658013344,0.3653075098991394
"(7, 2, 2, 2, 1, 1)",33,0.31242188811302185,0.7512181401252747,0.03048252686858177,0.4236286878585816
"(7, 2, 3, 1, 1, 1)",33,0.3075198829174042,1.0620032548904421,0.05140995979309082,0.3823215365409851
"(7, 2, 1, 2, 1, 2, 1)",33,0.30393606424331665,0.2746179699897766,0.101584330201149,0.3745775818824768
"(7, 2, 1, 3, 1, 1, 1)",33,0.3115781843662262,0.15488895773887634,0.052839908748865135,0.35508328676223755
"(7, 2, 1, 1, 4, 1)",34,0.3479078412055969,0.3505856096744537,0.04380280151963234,0.4505983591079712
"(7, 3, 1, 1, 1, 1)",34,0.3072264194488525,0.3572548925876617,0.0941360518336296,0.3795846998691559
"(7, 2, 1, 4, 1, 1)",34,0.3483497798442841,1.7950127124786377,0.031370971351861954,0.4970947802066803
"(7, 2, 2, 1, 1, 2, 1)",34,0.3134763836860657,0.22589051723480225,0.09391426295042038,0.3997654318809509
"(7, 2, 1, 2, 2, 1, 1)",34,0.6684350371360779,0.6616079807281494,0.16380590200424194,0.5994393825531006
"(7, 2, 1, 1, 2, 2, 1)",34,0.32352113723754883,0.1997097134590149,0.1676282435655594,0.3818827867507935
"(7, 2, 2, 1, 2, 1, 1)",34,0.31465691328048706,0.19653666019439686,0.061440017074346535,0.352084219455719
"(7, 3, 2, 1)",35,0.3106595277786255,0.3097744286060333,0.07455766201019287,0.3866925239562988
"(7, 2, 2, 1, 3, 1)",35,0.3288167715072632,0.1385539025068283,0.042815331369638436,0.4174538850784302
"(7, 2, 2, 3, 1)",35,0.3151377439498901,0.5510759949684143,0.05521159619092941,0.3973608911037445
"(7, 2, 1, 5, 1)",35,0.3121244013309479,0.32766133546829224,0.05382385477423668,0.36651259660720825
"(7, 2, 3, 1, 1, 1, 1)",35,0.2953597903251648,0.2845452129840851,0.05917070060968399,0.34669655561447144
"(7, 3, 1, 2, 1)",35,0.31695058941841125,0.17548558115959167,0.06040870398283005,0.3700868785381317
"(7, 2, 4, 1, 1)",35,0.29978933930397034,0.27672696113586426,0.055739805102348335,0.3567172288894653
"(7, 2, 2, 2, 1, 1, 1)",35,0.2975361943244934,0.4582938551902771,0.050230015069246285,0.3488833606243133
"(7, 2, 1, 1, 1, 4, 1)",36,0.6853628158569336,0.6892158389091492,0.4153718650341034,0.9039514660835266
"(7, 2, 1, 4, 1, 1, 1)",36,0.2988576591014862,0.20947416126728047,0.07235730439424515,0.37319257855415344
"(7, 2, 1, 1, 4, 1, 1)",36,0.3493804931640625,0.263126403093338,0.033713828772306435,0.3829672038555145
"(7, 2, 1, 3, 1, 2, 1)",36,0.3331549167633057,0.26710352301597595,0.1130351424217224,0.44706255197525024
"(7, 2, 1, 3, 2, 1)",36,0.343756765127182,0.4933613538742066,0.07179214060306549,0.4662966132164002
"(7, 2, 1, 2, 1, 3, 1)",36,0.30953887104988104,0.20102959871292114,0.04580307751893997,0.3529033660888672
"(7, 2, 1, 2, 3, 1)",36,0.3097376525402069,0.8911560177803041,0.09597613662481308,0.4163647592067719
"(7, 2, 3, 1, 2, 1)",36,0.29832524061203003,0.201575368642807,0.05204115435481072,0.35134780406951904
"(7, 2, 3, 2, 1)",36,0.30767133831977844,1.3529702425003052,0.040956977754831314,0.457001805305481
"(7, 3, 1, 1, 1, 1, 1)",36,0.3041625916957855,0.18019403517246246,0.06832315027713776,0.3762169480323792
"(7, 2, 2, 3, 1, 1)",37,0.32891571521759033,0.9181659817695618,0.10395696759223938,0.5254886746406555
"(7, 2, 2, 1, 3, 1, 1)",37,0.31180864572525024,0.2204657644033432,0.15021060407161713,0.4095042049884796
"(7, 2, 1, 5, 1, 1)",37,0.3006168603897095,0.2634425163269043,0.062490493059158325,0.35264578461647034
"(7, 3, 2, 1, 1)",37,0.3018887042999268,0.7164399027824402,0.07771403342485428,0.4811835587024689
"(7, 3, 1, 1, 2, 1)",37,0.318010538816452,0.3237169682979584,0.04204507917165756,0.4289061427116394
"(7, 2, 5, 1)",37,0.31927189230918884,0.2086467742919922,0.03682317584753037,0.3727747201919556
"(7, 2, 4, 1, 1, 1)",37,0.30901864171028137,0.6367994546890259,0.09195602685213088,0.3944492042064667
"(7, 2, 2, 1, 1, 3, 1)",37,0.3074517250061035,0.4174221754074097,0.07546226680278778,0.4100973904132843
"(7, 4, 1)",37,0.3130527138710022,0.1848251521587372,0.09682774543762207,0.385699063539505
"(7, 3, 1, 2, 1, 1)",37,0.2965640723705292,0.2967660129070282,0.08829234540462494,0.350836843252182
"(7, 2, 2, 2, 2, 1)",37,0.29794377088546753,0.2624509036540985,0.04830659180879593,0.3971743285655975
"(7, 2, 1, 1, 5, 1)",37,0.30770909786224365,0.17130108177661896,0.04660032317042352,0.43667033314704895
